0.0224964,0.009286
0.5090614,0.009122
0.9713769,0.009041
1.458568,0.009122
1.991778,0.009041
2.45921,0.008961
2.975729,0.008961
3.460095,0.008882
3.976943,0.008803
4.46417,0.008803
4.979988,0.008648
5.464815,0.008726
5.981155,0.008572
6.466473,0.008572
6.953714,0.008572
7.469882,0.008496
7.954763,0.008421
8.471066,0.008421
8.955341,0.008346
9.475083,0.008346
9.959703,0.008272
10.47572,0.008199
10.96067,0.008127
11.48154,0.008127
11.96656,0.008055
12.4499,0.008055
12.96422,0.007984
13.48185,0.007984
13.96652,0.007984
14.45404,0.007843
14.97052,0.007913
15.45562,0.007843
15.97281,0.007843
16.45919,0.007705
16.97685,0.007705
17.46549,0.007705
17.95133,0.007569
18.46848,0.007569
18.95395,0.007569
19.47088,0.007502
19.95943,0.007436
20.47699,0.007436
20.96257,0.007436
21.47981,0.00737
21.96422,0.00737
22.45253,0.00737
22.96958,0.00724
23.45537,0.007176
23.97218,0.007176
24.45808,0.007112
24.97777,0.00724
25.46249,0.007049
25.98002,0.007112
26.46567,0.007112
26.98236,0.006987
27.46663,0.006864
27.95452,0.006864
28.47153,0.006925
28.95685,0.006925
29.47321,0.006987
29.95763,0.006803
30.47745,0.006803
30.96238,0.006743
31.47938,0.006683
31.96425,0.006743
32.4807,0.006624
33.0023,0.006683
33.45307,0.006624
33.97058,0.006566
34.45584,0.006566
34.97197,0.006508
35.45998,0.006566
35.97701,0.006508
36.46133,0.006508
36.97837,0.00645
37.46315,0.006393
37.98049,0.006393
38.46775,0.006393
38.95274,0.006393
39.46944,0.00628
39.95546,0.00628
40.47121,0.00628
40.95905,0.006225
41.47679,0.00617
41.96124,0.006225
42.47833,0.006115
42.96266,0.006115
43.45031,0.006115
43.9673,0.006061
44.45241,0.006007
44.96872,0.006061
45.45399,0.005901
45.97335,0.005954
46.4575,0.005954
46.9749,0.005901
47.45964,0.005849
47.97572,0.005797
48.46148,0.005797
48.98069,0.005746
49.46502,0.005746
49.98135,0.005746
50.46675,0.005695
50.9511,0.005645
51.47091,0.005645
51.9561,0.005545
52.4721,0.005545
52.95781,0.005545
53.47367,0.005496
53.96217,0.005448
54.47882,0.0054
54.96377,0.005448
55.44814,0.0054
55.9646,0.005352
56.45308,0.005211
56.96884,0.005258
57.45424,0.005211
57.97028,0.005211
58.45522,0.005211
58.97532,0.005165
59.45965,0.005119
59.97629,0.005074
60.46124,0.005119
60.97733,0.005119
61.46174,0.005074
61.98063,0.00494
62.4662,0.004984
62.95066,0.004984
63.46715,0.004984
63.95248,0.00494
64.47159,0.00494
64.95646,0.00494
65.47275,0.004897
65.95767,0.00481
66.47359,0.004853
66.96098,0.00481
67.47802,0.00481
67.96297,0.00481
68.47948,0.00481
68.96445,0.00481
69.45269,0.00481
69.96929,0.004726
70.45387,0.004642
70.97089,0.004726
71.45556,0.004726
71.97227,0.004684
72.45939,0.004726
72.97575,0.004642
73.46104,0.004642
73.97765,0.004601
74.46189,0.004601
74.98112,0.004601
75.4662,0.004561
75.95074,0.004561
76.46702,0.004561
76.95232,0.00452
77.47131,0.00452
77.9556,0.00448
78.47221,0.00452
78.9576,0.00452
79.47356,0.00452
79.96075,0.00448
80.47726,0.004441
80.96282,0.004441
81.47873,0.004362
81.96336,0.004441
82.44876,0.004362
82.96809,0.004441
83.45258,0.004362
83.96856,0.004324
84.45414,0.004401
84.9696,0.004362
85.45782,0.004324
85.97347,0.004324
86.45841,0.004324
86.9746,0.004286
87.4601,0.004324
87.97836,0.004286
88.46326,0.004248
88.94861,0.00421
89.46519,0.004248
89.98157,0.00421
90.46813,0.00421
90.95373,0.00421
91.47051,0.004136
91.95483,0.004173
92.47137,0.004173
92.95679,0.004173
93.47629,0.004136
93.96075,0.004173
94.47646,0.004099
94.96109,0.004136
95.47812,0.004099
